Date,Open,High,Low,Close
11/03/2023,"13,362.85","13,520.28","13,344.73","13,478.28"
11/02/2023,"13,230.49","13,302.18","13,177.64","13,294.19"
11/01/2023,"12,887.06","13,072.43","12,875.20","13,061.47"
10/31/2023,"12,786.62","12,859.40","12,697.04","12,851.24"
10/30/2023,"12,750.47","12,842.96","12,691.56","12,789.48"
10/27/2023,"12,718.69","12,772.43","12,600.57","12,643.01"
10/26/2023,"12,768.97","12,818.14","12,543.86","12,595.61"
10/25/2023,"13,039.86","13,042.52","12,804.30","12,821.22"
10/24/2023,"13,084.99","13,170.39","13,022.85","13,139.87"
10/23/2023,"12,930.85","13,143.23","12,848.83","13,018.33"
10/20/2023,"13,157.77","13,177.35","12,977.44","12,983.81"
10/19/2023,"13,354.80","13,404.73","13,157.33","13,186.18"
10/18/2023,"13,439.68","13,499.74","13,275.30","13,314.30"
10/17/2023,"13,419.87","13,602.25","13,364.74","13,533.75"
10/16/2023,"13,453.81","13,598.05","13,447.17","13,567.98"
10/13/2023,"13,613.59","13,619.54","13,361.85","13,407.23"
10/12/2023,"13,672.47","13,714.14","13,491.56","13,574.22"
10/11/2023,"13,619.21","13,671.11","13,549.29","13,659.68"
10/10/2023,"13,505.81","13,659.63","13,491.81","13,562.84"
10/09/2023,"13,326.22","13,509.30","13,277.48","13,484.24"
10/06/2023,"13,127.68","13,472.27","13,099.03","13,431.34"
10/05/2023,"13,228.12","13,251.18","13,087.57","13,219.83"
10/04/2023,"13,092.92","13,258.76","13,072.52","13,236.01"
10/03/2023,"13,229.68","13,280.04","13,008.60","13,059.47"
10/02/2023,"13,217.99","13,364.03","13,204.08","13,307.77"
